"child","value","parent"
"barn lights",1,"lightform"
"base lights",1,"lightform"
"basically lights",1,"lightform"
"bay.the light",1,"lightform"
"beach lights",1,"lightform"
"beam lights",1,"lightform"
"beamed lights",1,"lightform"
"beamin lights",1,"lightform"
"beams lights",1,"lightform"
"befor light",1,"lightform"
"behaving light",1,"lightform"
"behaving lights",1,"lightform"
"bellowing lights",1,"lightform"
"bend light",1,"lightform"
"bending light",1,"lightform"
"bent light",1,"lightform"
"bethlehem light",1,"lightform"
"bights lights",1,"lightform"
"black light",1,"lightform"
"blade lights",1,"lightform"
"blazing light",1,"lightform"
"blending lights",1,"lightform"
"bliding light",1,"lightform"
"blinked lights",1,"lightform"
"blinkings lights",1,"lightform"
"blipping light",1,"lightform"
"blob lights",1,"lightform"
"blocks light",1,"lightform"
"blues lights",1,"lightform"
"bluesh light",1,"lightform"
"blur light",1,"lightform"
"blurred lights",1,"lightform"
"blus light",1,"lightform"
"bottom light",1,"lightform"
"bottom lights",1,"lightform"
"bouncing light",1,"lightform"
"braintree light",1,"lightform"
"brake lights",1,"lightform"
"briefly lights",1,"lightform"
"brightblue light",1,"lightform"
"brightist light",1,"lightform"
"brignt light",1,"lightform"
"brillant light",1,"lightform"
"brillant lights",1,"lightform"
"brillient light",1,"lightform"
"britly light",1,"lightform"
"britter light",1,"lightform"
"broad light",1,"lightform"
"bronze light",1,"lightform"
"bronze lights",1,"lightform"
"brown lights",1,"lightform"
"brownish lights",1,"lightform"
"bulging light",1,"lightform"
"burgund lights",1,"lightform"
"buring lights",1,"lightform"
"buzzing light",1,"lightform"
"cap lights",1,"lightform"
"capitol lights",1,"lightform"
"captured lights",1,"lightform"
"casting light",1,"lightform"
"ceiling lights",1,"lightform"
"celestial light",1,"lightform"
"cell lights",1,"lightform"
"change lights",1,"lightform"
"changed light",1,"lightform"
"changin lights",1,"lightform"
"chased light",1,"lightform"
"chased lights",1,"lightform"
"chasing light",1,"lightform"
"chem light",1,"lightform"
"chevron lights",1,"lightform"
"chicago light",1,"lightform"
"christmass lights",1,"lightform"
"chrome light",1,"lightform"
"cicular lights",1,"lightform"
"cicularobject light",1,"lightform"
"cicurlar light",1,"lightform"
"cingular light",1,"lightform"
"circling light",1,"lightform"
"circlulating lights",1,"lightform"
"circuler lights",1,"lightform"
